Panjang,Gender,Pengukuran,L,M,S
45,L,Length,-0.3521,2.441,0.09182
45,P,Length,-0.3833,2.4607,0.09029
45.5,L,Length,-0.3521,2.5244,0.09153
45.5,P,Length,-0.3833,2.5457,0.09033
46,L,Length,-0.3521,2.6077,0.09124
46,P,Length,-0.3833,2.6306,0.09037
46.5,L,Length,-0.3521,2.6913,0.09094
46.5,P,Length,-0.3833,2.7155,0.0904
47,L,Length,-0.3521,2.7755,0.09065
47,P,Length,-0.3833,2.8007,0.09044
47.5,L,Length,-0.3521,2.8609,0.09036
47.5,P,Length,-0.3833,2.8867,0.09048
48,L,Length,-0.3521,2.948,0.09007
48,P,Length,-0.3833,2.9741,0.09052
48.5,L,Length,-0.3521,3.0377,0.08977
48.5,P,Length,-0.3833,3.0636,0.09056
49,L,Length,-0.3521,3.1308,0.08948
49,P,Length,-0.3833,3.156,0.0906
49.5,L,Length,-0.3521,3.2276,0.08919
49.5,P,Length,-0.3833,3.252,0.09064
50,L,Length,-0.3521,3.3278,0.0889
50,P,Length,-0.3833,3.3518,0.09068
50.5,L,Length,-0.3521,3.4311,0.08861
50.5,P,Length,-0.3833,3.4557,0.09072
51,L,Length,-0.3521,3.5376,0.08831
51,P,Length,-0.3833,3.5636,0.09076
51.5,L,Length,-0.3521,3.6477,0.08801
51.5,P,Length,-0.3833,3.6754,0.0908
52,L,Length,-0.3521,3.762,0.08771
52,P,Length,-0.3833,3.7911,0.09085
52.5,L,Length,-0.3521,3.8814,0.08741
52.5,P,Length,-0.3833,3.9105,0.09089
53,L,Length,-0.3521,4.006,0.08711
53,P,Length,-0.3833,4.0332,0.09093
53.5,L,Length,-0.3521,4.1354,0.08681
53.5,P,Length,-0.3833,4.1591,0.09098
54,L,Length,-0.3521,4.2693,0.08651
54,P,Length,-0.3833,4.2875,0.09102
54.5,L,Length,-0.3521,4.4066,0.08621
54.5,P,Length,-0.3833,4.4179,0.09106
55,L,Length,-0.3521,4.5467,0.08592
55,P,Length,-0.3833,4.5498,0.0911
55.5,L,Length,-0.3521,4.6892,0.08563
55.5,P,Length,-0.3833,4.6827,0.09114
56,L,Length,-0.3521,4.8338,0.08535
56,P,Length,-0.3833,4.8162,0.09118
56.5,L,Length,-0.3521,4.9796,0.08507
56.5,P,Length,-0.3833,4.95,0.09121
57,L,Length,-0.3521,5.1259,0.08481
57,P,Length,-0.3833,5.0837,0.09125
57.5,L,Length,-0.3521,5.2721,0.08455
57.5,P,Length,-0.3833,5.2173,0.09128
58,L,Length,-0.3521,5.418,0.0843
58,P,Length,-0.3833,5.3507,0.0913
58.5,L,Length,-0.3521,5.5632,0.08406
58.5,P,Length,-0.3833,5.4834,0.09132
59,L,Length,-0.3521,5.7074,0.08383
59,P,Length,-0.3833,5.6151,0.09134
59.5,L,Length,-0.3521,5.8501,0.08362
59.5,P,Length,-0.3833,5.7454,0.09135
60,L,Length,-0.3521,5.9907,0.08342
60,P,Length,-0.3833,5.8742,0.09136
60.5,L,Length,-0.3521,6.1284,0.08324
60.5,P,Length,-0.3833,6.0014,0.09137
61,L,Length,-0.3521,6.2632,0.08308
61,P,Length,-0.3833,6.127,0.09137
61.5,L,Length,-0.3521,6.3954,0.08292
61.5,P,Length,-0.3833,6.2511,0.09136
62,L,Length,-0.3521,6.5251,0.08279
62,P,Length,-0.3833,6.3738,0.09135
62.5,L,Length,-0.3521,6.6527,0.08266
62.5,P,Length,-0.3833,6.4948,0.09133
63,L,Length,-0.3521,6.7786,0.08255
63,P,Length,-0.3833,6.6144,0.09131
63.5,L,Length,-0.3521,6.9028,0.08245
63.5,P,Length,-0.3833,6.7328,0.09129
64,L,Length,-0.3521,7.0255,0.08236
64,P,Length,-0.3833,6.8501,0.09126
64.5,L,Length,-0.3521,7.1467,0.08229
64.5,P,Length,-0.3833,6.9662,0.09123
65,L,Length,-0.3521,7.2666,0.08223
65,P,Length,-0.3833,7.0812,0.09119
65.5,L,Length,-0.3521,7.3854,0.08218
65.5,P,Length,-0.3833,7.195,0.09115
66,L,Length,-0.3521,7.5034,0.08215
66,P,Length,-0.3833,7.3076,0.0911
66.5,L,Length,-0.3521,7.6206,0.08213
66.5,P,Length,-0.3833,7.4189,0.09106
67,L,Length,-0.3521,7.737,0.08212
67,P,Length,-0.3833,7.5288,0.09101
67.5,L,Length,-0.3521,7.8526,0.08212
67.5,P,Length,-0.3833,7.6375,0.09096
68,L,Length,-0.3521,7.9674,0.08214
68,P,Length,-0.3833,7.7448,0.0909
68.5,L,Length,-0.3521,8.0816,0.08216
68.5,P,Length,-0.3833,7.8509,0.09085
69,L,Length,-0.3521,8.1955,0.08219
69,P,Length,-0.3833,7.9559,0.09079
69.5,L,Length,-0.3521,8.3092,0.08224
69.5,P,Length,-0.3833,8.0599,0.09074
70,L,Length,-0.3521,8.4227,0.08229
70,P,Length,-0.3833,8.163,0.09068
70.5,L,Length,-0.3521,8.5358,0.08235
70.5,P,Length,-0.3833,8.2651,0.09062
71,L,Length,-0.3521,8.648,0.08241
71,P,Length,-0.3833,8.3666,0.09056
71.5,L,Length,-0.3521,8.7594,0.08248
71.5,P,Length,-0.3833,8.4676,0.0905
72,L,Length,-0.3521,8.8697,0.08254
72,P,Length,-0.3833,8.5679,0.09043
72.5,L,Length,-0.3521,8.9788,0.08262
72.5,P,Length,-0.3833,8.6674,0.09037
73,L,Length,-0.3521,9.0865,0.08269
73,P,Length,-0.3833,8.7661,0.09031
73.5,L,Length,-0.3521,9.1927,0.08276
73.5,P,Length,-0.3833,8.8638,0.09025
74,L,Length,-0.3521,9.2974,0.08283
74,P,Length,-0.3833,8.9601,0.09018
74.5,L,Length,-0.3521,9.401,0.08289
74.5,P,Length,-0.3833,9.0552,0.09012
75,L,Length,-0.3521,9.5032,0.08295
75,P,Length,-0.3833,9.149,0.09005
75.5,L,Length,-0.3521,9.6041,0.08301
75.5,P,Length,-0.3833,9.2418,0.08999
76,L,Length,-0.3521,9.7033,0.08307
76,P,Length,-0.3833,9.3337,0.08992
76.5,L,Length,-0.3521,9.8007,0.08311
76.5,P,Length,-0.3833,9.4252,0.08985
77,L,Length,-0.3521,9.8963,0.08314
77,P,Length,-0.3833,9.5166,0.08979
77.5,L,Length,-0.3521,9.9902,0.08317
77.5,P,Length,-0.3833,9.6086,0.08972
78,L,Length,-0.3521,10.0827,0.08318
78,P,Length,-0.3833,9.7015,0.08965
78.5,L,Length,-0.3521,10.1741,0.08318
78.5,P,Length,-0.3833,9.7957,0.08959
79,L,Length,-0.3521,10.2649,0.08316
79,P,Length,-0.3833,9.8915,0.08952
79.5,L,Length,-0.3521,10.3558,0.08313
79.5,P,Length,-0.3833,9.9892,0.08946
80,L,Length,-0.3521,10.4475,0.08308
80,P,Length,-0.3833,10.0891,0.0894
80.5,L,Length,-0.3521,10.5405,0.08301
80.5,P,Length,-0.3833,10.1916,0.08934
81,L,Length,-0.3521,10.6352,0.08293
81,P,Length,-0.3833,10.2965,0.08928
81.5,L,Length,-0.3521,10.7322,0.08284
81.5,P,Length,-0.3833,10.4041,0.08923
82,L,Length,-0.3521,10.8321,0.08273
82,P,Length,-0.3833,10.514,0.08918
82.5,L,Length,-0.3521,10.935,0.0826
82.5,P,Length,-0.3833,10.6263,0.08914
83,L,Length,-0.3521,11.0415,0.08246
83,P,Length,-0.3833,10.741,0.0891
83.5,L,Length,-0.3521,11.1516,0.08231
83.5,P,Length,-0.3833,10.8578,0.08906
84,L,Length,-0.3521,11.2651,0.08215
84,P,Length,-0.3833,10.9767,0.08903
84.5,L,Length,-0.3521,11.3817,0.08198
84.5,P,Length,-0.3833,11.0974,0.089
85,L,Length,-0.3521,11.5007,0.08181
85,P,Length,-0.3833,11.2198,0.08898
85.5,L,Length,-0.3521,11.6218,0.08163
85.5,P,Length,-0.3833,11.3435,0.08897
86,L,Length,-0.3521,11.7444,0.08145
86,P,Length,-0.3833,11.4684,0.08895
86.5,L,Length,-0.3521,11.8678,0.08128
86.5,P,Length,-0.3833,11.594,0.08895
87,L,Length,-0.3521,11.9916,0.08111
87,P,Length,-0.3833,11.7201,0.08895
87.5,L,Length,-0.3521,12.1152,0.08096
87.5,P,Length,-0.3833,11.8461,0.08895
88,L,Length,-0.3521,12.2382,0.08082
88,P,Length,-0.3833,11.972,0.08896
88.5,L,Length,-0.3521,12.3603,0.08069
88.5,P,Length,-0.3833,12.0976,0.08898
89,L,Length,-0.3521,12.4815,0.08058
89,P,Length,-0.3833,12.2229,0.089
89.5,L,Length,-0.3521,12.6017,0.08048
89.5,P,Length,-0.3833,12.3477,0.08903
90,L,Length,-0.3521,12.7209,0.08041
90,P,Length,-0.3833,12.4723,0.08906
90.5,L,Length,-0.3521,12.8392,0.08034
90.5,P,Length,-0.3833,12.5965,0.08909
91,L,Length,-0.3521,12.9569,0.0803
91,P,Length,-0.3833,12.7205,0.08913
91.5,L,Length,-0.3521,13.0742,0.08026
91.5,P,Length,-0.3833,12.8443,0.08918
92,L,Length,-0.3521,13.191,0.08025
92,P,Length,-0.3833,12.9681,0.08923
92.5,L,Length,-0.3521,13.3075,0.08025
92.5,P,Length,-0.3833,13.092,0.08928
93,L,Length,-0.3521,13.4239,0.08026
93,P,Length,-0.3833,13.2158,0.08934
93.5,L,Length,-0.3521,13.5404,0.08029
93.5,P,Length,-0.3833,13.3399,0.08941
94,L,Length,-0.3521,13.6572,0.08034
94,P,Length,-0.3833,13.4643,0.08948
94.5,L,Length,-0.3521,13.7746,0.0804
94.5,P,Length,-0.3833,13.5892,0.08955
95,L,Length,-0.3521,13.8928,0.08047
95,P,Length,-0.3833,13.7146,0.08963
95.5,L,Length,-0.3521,14.012,0.08056
95.5,P,Length,-0.3833,13.8408,0.08972
96,L,Length,-0.3521,14.1325,0.08067
96,P,Length,-0.3833,13.9676,0.08981
96.5,L,Length,-0.3521,14.2544,0.08078
96.5,P,Length,-0.3833,14.0953,0.0899
97,L,Length,-0.3521,14.3782,0.08092
97,P,Length,-0.3833,14.2239,0.09
97.5,L,Length,-0.3521,14.5038,0.08106
97.5,P,Length,-0.3833,14.3537,0.0901
98,L,Length,-0.3521,14.6316,0.08122
98,P,Length,-0.3833,14.4848,0.09021
98.5,L,Length,-0.3521,14.7614,0.08139
98.5,P,Length,-0.3833,14.6174,0.09033
99,L,Length,-0.3521,14.8934,0.08157
99,P,Length,-0.3833,14.7519,0.09044
99.5,L,Length,-0.3521,15.0275,0.08177
99.5,P,Length,-0.3833,14.8882,0.09057
100,L,Length,-0.3521,15.1637,0.08198
100,P,Length,-0.3833,15.0267,0.09069
100.5,L,Length,-0.3521,15.3018,0.0822
100.5,P,Length,-0.3833,15.1676,0.09083
101,L,Length,-0.3521,15.4419,0.08243
101,P,Length,-0.3833,15.3108,0.09096
101.5,L,Length,-0.3521,15.5838,0.08267
101.5,P,Length,-0.3833,15.4564,0.0911
102,L,Length,-0.3521,15.7276,0.08292
102,P,Length,-0.3833,15.6046,0.09125
102.5,L,Length,-0.3521,15.8732,0.08317
102.5,P,Length,-0.3833,15.7553,0.09139
103,L,Length,-0.3521,16.0206,0.08343
103,P,Length,-0.3833,15.9087,0.09155
103.5,L,Length,-0.3521,16.1697,0.0837
103.5,P,Length,-0.3833,16.0645,0.0917
104,L,Length,-0.3521,16.3204,0.08397
104,P,Length,-0.3833,16.2229,0.09186
104.5,L,Length,-0.3521,16.4728,0.08425
104.5,P,Length,-0.3833,16.3837,0.09203
105,L,Length,-0.3521,16.6268,0.08453
105,P,Length,-0.3833,16.547,0.09219
105.5,L,Length,-0.3521,16.7826,0.08481
105.5,P,Length,-0.3833,16.7129,0.09236
106,L,Length,-0.3521,16.9401,0.0851
106,P,Length,-0.3833,16.8814,0.09254
106.5,L,Length,-0.3521,17.0995,0.08539
106.5,P,Length,-0.3833,17.0527,0.09271
107,L,Length,-0.3521,17.2607,0.08568
107,P,Length,-0.3833,17.2269,0.09289
107.5,L,Length,-0.3521,17.4237,0.08599
107.5,P,Length,-0.3833,17.4039,0.09307
108,L,Length,-0.3521,17.5885,0.08629
108,P,Length,-0.3833,17.5839,0.09326
108.5,L,Length,-0.3521,17.7553,0.0866
108.5,P,Length,-0.3833,17.7668,0.09344
109,L,Length,-0.3521,17.9242,0.08691
109,P,Length,-0.3833,17.9526,0.09363
109.5,L,Length,-0.3521,18.0954,0.08723
109.5,P,Length,-0.3833,18.1412,0.09382
110,L,Length,-0.3521,18.2689,0.08755
110,P,Length,-0.3833,18.3324,0.09401
